,Credit Suisse Hedge Fund Index ,,,Credit Suisse Convertible Arbitrage Hedge Fund Index,,,Credit Suisse Dedicated Short Bias Hedge Fund Index,,,Credit Suisse Emerging Markets Hedge Fund Index,,,Credit Suisse Equity Market Neutral Hedge Fund Index,,,Credit Suisse Event Driven Hedge Fund Index,,,Credit Suisse Event Driven Distressed Hedge Fund Index,,,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,,,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,,,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,,,Credit Suisse Global Macro Hedge Fund Index,,,Credit Suisse Long/Short Equity Hedge Fund Index,,,Credit Suisse Managed Futures Hedge Fund Index,,,Credit Suisse Multi-Strategy Hedge Fund Index,,,Credit Suisse AllHedge Index,,,Credit Suisse AllHedge Convertible Arbitrage Index,,,Credit Suisse AllHedge Dedicated Short Bias Index,,,Credit Suisse AllHedge Emerging Markets Index,,,Credit Suisse AllHedge Equity Market Neutral Index,,,Credit Suisse AllHedge Event Driven Index,,,Credit Suisse AllHedge Fixed Income Arbitrage Index,,,Credit Suisse AllHedge Global Macro Index,,,Credit Suisse AllHedge Long/Short Equity Index,,,Credit Suisse AllHedge Managed Futures Index,,,Credit Suisse AllHedge Multi-Strategy Index,,
,HEDG,,,HEDG_CVARB,,,HEDG_DEDSH,,,HEDG_EMMKT,,,HEDG_EQNTR,,,HEDG_EVDRV,,,HEDG_DISTR,,,HEDG_MSEVD,,,HEDG_MRARB,,,HEDG_FIARB,,,HEDG_GLMAC,,,HEDG_LOSHO,,,HEDG_MGFUT,,,HEDG_MULTI,,,SECT,,,SECT_CVARB,,,SECT_DEDSH,,,SECT_EMMKT,,,SECT_EQNTR,,,SECT_EVDRV,,,SECT_FIARB,,,SECT_GLMAC,,,SECT_LOSHO,,,SECT_MGFUT,,,SECT_MULTI,,
Date,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR
4/30/2021,USD,708.46,2.59%,USD,559.98,0.71%,,,,USD,641.43,3.08%,USD,282.33,2.39%,USD,779.38,1.92%,USD,928.51,1.71%,USD,707.25,1.90%,USD,493.57,2.61%,USD,386.65,1.24%,USD,1169.78,3.55%,USD,903.47,3.10%,USD,331.51,2.69%,USD,679.87,2.23%,USD,155.9,2.86%,USD,156.83,-0.25%,,,,USD,261.04,2.94%,USD,96.19,1.90%,USD,158.77,0.92%,USD,93.98,0.62%,USD,126.79,6.31%,USD,214.92,2.36%,USD,170.96,2.50%,USD,157.14,1.95%
3/31/2021,USD,690.56,0.73%,USD,556.02,-0.81%,,,,USD,622.26,-2.19%,USD,275.74,-0.46%,USD,764.73,1.64%,USD,912.88,2.29%,USD,694.08,1.99%,USD,481.02,-3.59%,USD,381.93,0.41%,USD,1129.73,1.50%,USD,876.34,0.74%,USD,322.84,0.36%,USD,665.05,1.11%,USD,151.57,-0.18%,USD,157.23,0.34%,,,,USD,253.59,-3.61%,USD,94.4,0.12%,USD,157.32,-1.10%,USD,93.4,0.19%,USD,119.26,0.10%,USD,209.96,-0.02%,USD,166.79,0.14%,USD,154.14,0.74%
2/28/2021,USD,685.53,2.33%,USD,560.55,2.12%,,,,USD,636.21,1.04%,USD,277.02,1.45%,USD,752.38,3.15%,USD,892.41,3.55%,USD,680.56,3.24%,USD,498.95,1.32%,USD,380.37,0.36%,USD,1113.01,0.91%,USD,869.93,4.55%,USD,321.69,3.12%,USD,657.75,1.46%,USD,151.84,2.26%,USD,156.7,2.40%,,,,USD,263.09,2.12%,USD,94.29,1.53%,USD,159.07,2.15%,USD,93.22,-0.58%,USD,119.14,0.02%,USD,210,5.09%,USD,166.55,4.13%,USD,153.01,0.60%
1/31/2021,USD,669.89,-0.22%,USD,548.89,1.34%,,,,USD,629.68,3.86%,USD,273.05,-0.08%,USD,729.42,1.40%,USD,861.82,0.27%,USD,659.19,1.42%,USD,492.45,4.37%,USD,378.99,1.34%,USD,1102.96,0.32%,USD,832.08,-2.80%,USD,311.97,-1.20%,USD,648.3,-0.49%,USD,148.48,0.05%,USD,153.02,2.12%,,,,USD,257.62,4.98%,USD,92.87,0.42%,USD,155.72,2.39%,USD,93.76,0.69%,USD,119.12,-1.28%,USD,199.83,-0.31%,USD,159.94,-0.71%,USD,152.09,-0.79%
12/31/2020,USD,671.4,3.78%,USD,541.61,0.83%,,,,USD,606.25,3.26%,USD,273.27,1.78%,USD,719.35,3.76%,USD,859.53,2.32%,USD,649.99,4.01%,USD,471.81,6.05%,USD,373.99,1.38%,USD,1099.47,4.48%,USD,856.05,4.15%,USD,315.75,5.27%,USD,651.47,4.19%,USD,148.41,4.54%,USD,149.85,1.86%,,,,USD,245.41,4.27%,USD,92.48,1.83%,USD,152.09,3.04%,USD,93.12,1.18%,USD,120.66,6.49%,USD,200.46,5.56%,USD,161.09,5.87%,USD,153.3,2.47%
11/30/2020,USD,646.94,2.99%,USD,537.14,2.83%,,,,USD,587.13,4.20%,USD,268.5,-0.57%,USD,693.29,6.75%,USD,840.02,6.90%,USD,624.92,6.89%,USD,444.91,4.78%,USD,368.89,1.11%,USD,1052.34,2.53%,USD,821.96,4.00%,USD,299.93,0.73%,USD,625.25,1.02%,USD,141.96,4.50%,USD,147.12,3.63%,,,,USD,235.35,4.37%,USD,90.82,-1.39%,USD,147.61,3.50%,USD,92.03,1.31%,USD,113.31,7.82%,USD,189.9,8.64%,USD,152.16,0.29%,USD,149.6,1.98%
10/31/2020,USD,628.16,-0.47%,USD,522.38,0.49%,,,,USD,563.44,-1.89%,USD,270.04,-0.47%,USD,649.45,-0.32%,USD,785.79,-0.19%,USD,584.64,-0.40%,USD,424.6,0.14%,USD,364.83,0.78%,USD,1026.41,-1.08%,USD,790.31,-0.63%,USD,297.75,-0.15%,USD,618.92,-0.20%,USD,135.85,-0.60%,USD,141.96,0.67%,,,,USD,225.5,1.49%,USD,92.1,-0.69%,USD,142.62,-0.38%,USD,90.84,0.46%,USD,105.09,-2.06%,USD,174.8,0.49%,USD,151.72,-0.59%,USD,146.7,-1.76%
9/30/2020,USD,631.1,-0.93%,USD,519.82,0.40%,,,,USD,574.3,-0.94%,USD,271.32,-1.12%,USD,651.51,-0.20%,USD,787.32,-0.69%,USD,586.96,-0.15%,USD,424,0.89%,USD,362.02,0.59%,USD,1037.62,-1.63%,USD,795.3,-1.50%,USD,298.21,-2.19%,USD,620.18,-0.52%,USD,136.67,-1.45%,USD,141.02,0.06%,,,,USD,222.2,-1.40%,USD,92.74,-0.39%,USD,143.16,0.88%,USD,90.42,0.66%,USD,107.3,-2.79%,USD,173.95,-2.82%,USD,152.62,-2.37%,USD,149.33,0.15%
