Date,Open,High,Low,Close,Adj Close,Volume
6/4/2001,1264.5,1270,1257,1269.25,1269.25,103840
6/5/2001,1269.25,1288.5,1267.25,1284.5,1284.5,118497
6/6/2001,1284.75,1286.25,1269.5,1273.5,1273.5,154186
6/7/2001,1271.75,1279,1265.75,1277,1277,15353
6/8/2001,1277.25,1285.25,1256.5,1268.75,1268.75,5273
6/11/2001,1264.25,1267,1249,1255.25,1255.25,4024
6/12/2001,1255.75,1261.75,1235.5,1253.75,1253.75,3885
6/13/2001,1253,1260,1241.5,1242,1242,2000
6/14/2001,1242,1252.5,1212.5,1215,1215,2380
6/15/2001,1213.5,1219.5,1204.25,1207.5,1207.5,145621
6/18/2001,1226,1230.5,1215.75,1220.25,1220.25,129875
6/19/2001,1220,1235.5,1215.5,1224.5,1224.5,164920
6/20/2001,1223.5,1234.75,1216.5,1229.5,1229.5,180882
6/21/2001,1229,1249.25,1226.25,1243,1243,155020
6/22/2001,1242.5,1244.25,1228,1235,1235,122986
6/25/2001,1234,1240,1220.75,1223.5,1223.5,112757
6/26/2001,1223.75,1229.5,1206,1220.75,1220.75,148487
6/27/2001,1220.75,1227.5,1213.75,1219,1219,140324
6/28/2001,1220,1244.75,1213.25,1227.25,1227.25,151191
6/29/2001,1227.75,1245.5,1227.75,1237.75,1237.75,134631
7/2/2001,1233.5,1248.25,1229,1246,1246,57913
7/3/2001,1246,1247.25,1235.75,1245.25,1245.25,57913
7/4/2001,null,null,null,null,null,null
7/5/2001,1245.25,1245.25,1221.5,1222.25,1222.25,70416
7/6/2001,1222,1223.5,1193,1193.5,1193.5,128218
7/9/2001,1194.5,1209.25,1189,1200.75,1200.75,139075
7/10/2001,1202.5,1210.75,1186,1186.5,1186.5,164772
7/11/2001,1185.25,1193.25,1174,1185.25,1185.25,186472
7/12/2001,1187.5,1217.5,1186.25,1214.25,1214.25,152005
7/13/2001,1214.5,1225.75,1209.5,1225,1225,127109
7/16/2001,1224.5,1225.5,1205.75,1210.5,1210.5,133609
7/17/2001,1210.25,1222.5,1201.5,1220.5,1220.5,163156
7/18/2001,1219.25,1221,1202.5,1212,1212,170044
7/19/2001,1210,1231.5,1207.75,1223,1223,182607
7/20/2001,1217.75,1221.25,1211.25,1214.75,1214.75,116044
7/23/2001,1215,1223.5,1191.5,1192,1192,147690
7/24/2001,1193.75,1196.75,1168.5,1178.5,1178.5,173722
7/25/2001,1179,1195.75,1176,1191.5,1191.5,172106
7/26/2001,1192.5,1209.75,1186,1205.25,1205.25,149254
7/27/2001,1205.75,1214.25,1200,1210,1210,127497
7/30/2001,1210,1214.5,1203,1209.75,1209.75,125524
7/31/2001,1210.25,1227.75,1209,1215.25,1215.25,131948
8/1/2001,1214,1227.5,1210.75,1221.5,1221.5,138248
8/2/2001,1220.25,1234.25,1219,1226,1226,119946
8/3/2001,1226.25,1227.75,1209,1219.75,1219.75,140720
8/6/2001,1219.75,1221,1200.75,1203,1203,116564
8/7/2001,1203.75,1212.25,1198.25,1207.75,1207.75,118342
8/8/2001,1210,1211.5,1183.75,1185.5,1185.5,165090
8/9/2001,1185.75,1189.25,1177.75,1187.75,1187.75,167818
8/10/2001,1188,1197.5,1172,1191.25,1191.25,174116
8/13/2001,1193,1197.75,1186.75,1192.5,1192.5,129706
8/14/2001,1193,1202.75,1187.25,1192.25,1192.25,135535
