Date,Open,High,Low,Close,Adj Close,Volume
2001/6/1,1255.75,1288.5,1204.25,1237.75,1237.75,2128564
2001/8/1,1214,1234.25,1125.5,1138.5,1138.5,3477618
2001/9/1,1137.5,1158.5,939,1043.75,1043.75,2807628
2001/10/1,1044.25,1114.5,1028.75,1056.25,1056.25,5296046
2001/11/1,1057.5,1164.75,1053.25,1135.25,1135.25,4183280
2001/12/1,1137.25,1175.25,1114.25,1149.25,1149.25,2037744
2002/1/1,1143.75,1178.5,1080.75,1130.5,1130.5,4933104
2002/2/1,1128.75,1132.25,1073.75,1107,1107,5565677
2002/3/1,1106.25,1177.5,1106,1144.75,1144.75,3976122
2002/4/1,1145.25,1150,1063.5,1076,1076,7164387
2002/5/1,1076.75,1109,1045.75,1064,1064,7910643
2002/6/1,1066.25,1071,945.5,988,988,7126503
2002/7/1,989,996.25,771,908,908,14863924
2002/8/1,909.25,966,828.5,912.25,912.25,11387850
2002/10/1,816.5,909.25,767.25,885.5,885.5,17173996
2002/11/1,882,942.5,870.25,936,936,11574865
2003/1/1,883,937,836,854.75,854.75,14210981
2003/2/1,854.75,864,805.25,841,841,13362355
2003/3/1,844,888.5,788.5,847,847,10478203
2003/4/1,844.5,923.75,843,916,916,13508476
2003/5/1,915.5,966,900.5,963.25,963.25,13448659
2003/7/1,972.75,1014.75,960.25,989.25,989.25,14846541
2003/8/1,988.75,1012.25,958.25,1007.75,1007.75,10478175
2003/9/1,1008.25,1041.75,987.75,994,994,11884105
2003/10/1,995.5,1055.75,995,1049.5,1049.5,14552772
2003/11/1,1047.25,1064.5,1030.25,1057.75,1057.75,11559778
2003/12/1,1059,1111.5,1053,1110.5,1110.5,7400285
2004/1/1,1111,1155,1103.5,1130,1130,13947909
2004/3/1,1144.25,1163.75,1084.75,1125,1125,12728937
2004/4/1,1126.75,1154.5,1103.75,1106,1106,14988006
2004/5/1,1105.25,1127.5,1075.25,1121.5,1121.5,16574061
2004/6/1,1121.25,1146.25,1112.5,1140.5,1140.5,10531040
2004/7/1,1140.75,1143.75,1077,1101,1101,15182073
2004/9/1,1105,1132.5,1098,1115,1115,9833549
2004/10/1,1115,1143.75,1088,1130.25,1130.25,14615246
2004/11/1,1127.5,1191.25,1126.25,1174,1174,14263503
2004/12/1,1177.25,1219.75,1173.5,1213.75,1213.75,8735219
2005/1/1,1213.5,1221.25,1164.25,1181.75,1181.75,15440389
2005/2/1,1181.25,1214.75,1179.5,1204,1204,12496443
2005/3/1,1204.5,1229.75,1166.75,1184,1184,13191210
2005/4/1,1183.25,1195.75,1135.75,1158.5,1158.5,20167137
2005/6/1,1192.5,1225,1191.25,1195.5,1195.5,12604052
2005/7/1,1195.75,1248.75,1170.75,1236.75,1236.75,14395899
2005/8/1,1239.25,1248.5,1194,1221.5,1221.5,17655409
2005/9/1,1222.25,1244.5,1210.75,1234.25,1234.25,13839021
2005/10/1,1235.25,1239,1171.75,1209.75,1209.75,22917066
2005/11/1,1205.25,1273,1202.5,1251,1251,16790003
2005/12/1,1253,1281,1251.25,1254.75,1254.75,10826901
2006/2/1,1278.25,1299.75,1255.75,1282.5,1282.5,16798943
2006/3/1,1281.75,1321.5,1268.75,1307.5,1307.5,15273225
2006/4/1,1307,1324.75,1286.5,1316,1316,18166516
2006/5/1,1318.5,1331.25,1246.75,1272,1272,26629557
2006/6/1,1273,1294,1218.75,1279.5,1279.5,19660380
2006/7/1,1281.75,1290,1231,1281.75,1281.75,22423370
2006/8/1,1282.25,1308.75,1262.5,1305.5,1305.5,18987400
2006/9/1,1305,1350.5,1291.5,1345.5,1345.5,15888547
2006/11/1,1382.75,1411.25,1365.5,1403,1403,24211877
2006/12/1,1403,1444,1387.5,1428.5,1428.5,12331062
2007/1/1,1433,1447.25,1412.25,1443,1443,21571871
2007/2/1,1443,1464.75,1389,1409,1409,23086920
2007/3/1,1407.75,1451,1363.75,1431.25,1431.25,26602979
2007/5/1,1488,1538,1482.25,1533,1533,26169670
2007/6/1,1534,1554.25,1480.5,1515.5,1515.5,27232392
2007/8/1,1462.5,1510.5,1374.5,1476.75,1476.75,55251608
2007/9/1,1476,1545.5,1440.75,1538,1538,25605535
2007/10/1,1540.5,1586.75,1492.5,1555,1555,38616123
2007/11/1,1554,1555,1406.25,1483.75,1483.75,46556139
2007/12/1,1484,1527,1435.5,1477.25,1477.25,22211218
2008/1/1,1478.75,1482.75,1255.5,1379.5,1379.5,55136279
2008/2/1,1374,1400,1312.75,1331.25,1331.25,40186590
2008/3/1,1329.5,1361.5,1253,1324,1324,38482416
2008/4/1,1322,1407,1315.75,1386,1386,38383487
2008/5/1,1383,1441,1370.5,1400.5,1400.5,37804385
2008/7/1,1283.5,1294.75,1200.75,1267,1267,55138169
2008/8/1,1267,1313.5,1246.25,1282.5,1282.5,36238314
2008/9/1,1282,1303.5,1112,1169,1169,51247269
2008/10/1,1167.5,1174,825,967.25,967.25,84130426
2008/11/1,965.75,1008.5,739,895.25,895.25,56284976
2008/12/1,897.5,919.25,813,900,900,35467477
2009/1/1,900,942.75,797.5,822.5,822.5,45637436
2009/4/1,790.5,887,779,870,870,49217492
2009/5/1,866,929.5,862.5,918,918,45893411
2009/6/1,920.25,957.5,884.25,915.5,915.5,35642242
2009/7/1,915.5,994,865.25,984.5,984.5,44082061
2009/8/1,982.75,1038.75,975.5,1019.75,1019.75,38330014
2009/9/1,1021,1076.5,991,1053,1053,33401796
2009/10/1,1053.5,1099,1012,1033,1033,46280383
2009/12/1,1092.75,1128.5,1085,1110.75,1110.75,25907735
2010/1/1,1113.75,1148,1066.5,1070.5,1070.5,40732366
