Date,Open,High,Low,Close*,Adj Close**,Volume
11-Jun-21,"8,823.51","8,834.61","8,801.38","8,832.94","8,832.94",-
10-Jun-21,"8,793.48","8,837.40","8,776.85","8,815.56","8,815.56",-
9-Jun-21,"8,802.27","8,809.96","8,772.64","8,774.31","8,774.31",-
8-Jun-21,"8,803.62","8,808.29","8,750.80","8,790.00","8,790.00",-
7-Jun-21,"8,794.15","8,800.15","8,765.78","8,788.28","8,788.28",-
4-Jun-21,"8,745.51","8,802.46","8,745.51","8,795.08","8,795.08",-
3-Jun-21,"8,715.01","8,741.90","8,666.33","8,717.97","8,717.97",-
2-Jun-21,"8,745.59","8,767.52","8,727.89","8,748.30","8,748.30",-
1-Jun-21,"8,764.83","8,800.93","8,725.54","8,734.74","8,734.74",-
28-May-21,"8,752.61","8,768.36","8,737.64","8,738.77","8,738.77",-
27-May-21,"8,733.18","8,756.91","8,724.54","8,730.97","8,730.97",-
26-May-21,"8,710.88","8,733.77","8,695.34","8,720.04","8,720.04",-
25-May-21,"8,740.59","8,755.98","8,692.48","8,703.59","8,703.59",-
24-May-21,"8,666.12","8,747.90","8,666.12","8,722.00","8,722.00",-
21-May-21,"8,662.03","8,703.83","8,627.05","8,635.55","8,635.55",-
20-May-21,"8,564.79","8,670.23","8,564.79","8,641.98","8,641.98",-
19-May-21,"8,515.16","8,553.55","8,438.48","8,550.95","8,550.95",-
18-May-21,"8,654.13","8,660.50","8,572.87","8,574.98","8,574.98",-
17-May-21,"8,661.33","8,665.50","8,604.82","8,647.57","8,647.57",-
14-May-21,"8,577.53","8,688.66","8,577.53","8,669.49","8,669.49",-
13-May-21,"8,463.51","8,580.91","8,463.51","8,541.39","8,541.39",-
12-May-21,"8,577.42","8,586.03","8,424.45","8,437.24","8,437.24",-
11-May-21,"8,617.34","8,641.39","8,536.75","8,620.98","8,620.98",-
10-May-21,"8,779.07","8,795.78","8,696.28","8,696.29","8,696.29",-
7-May-21,"8,741.60","8,799.10","8,724.24","8,787.82","8,787.82",-
6-May-21,"8,654.62","8,724.28","8,609.61","8,722.04","8,722.04",-
5-May-21,"8,669.70","8,691.72","8,636.58","8,650.04","8,650.04",-
4-May-21,"8,673.77","8,673.77","8,569.18","8,643.91","8,643.91",-
3-May-21,"8,700.62","8,736.73","8,692.57","8,702.02","8,702.02",-
30-Apr-21,"8,713.28","8,713.28","8,665.27","8,678.16","8,678.16",-
29-Apr-21,"8,729.28","8,755.50","8,668.44","8,740.35","8,740.35",-
28-Apr-21,"8,685.22","8,719.11","8,678.87","8,681.17","8,681.17",-
27-Apr-21,"8,691.63","8,702.16","8,667.59","8,688.45","8,688.45",-
26-Apr-21,"8,684.88","8,703.89","8,679.60","8,690.26","8,690.26",-
23-Apr-21,"8,588.92","8,703.72","8,588.92","8,674.80","8,674.80",-
22-Apr-21,"8,654.34","8,673.18","8,557.78","8,580.73","8,580.73",-
21-Apr-21,"8,566.42","8,662.16","8,562.44","8,659.80","8,659.80",-
20-Apr-21,"8,630.24","8,630.24","8,545.61","8,579.95","8,579.95",-
19-Apr-21,"8,672.75","8,674.64","8,611.90","8,638.42","8,638.42",-
16-Apr-21,"8,661.01","8,696.62","8,654.10","8,684.51","8,684.51",-
15-Apr-21,"8,589.66","8,659.61","8,589.66","8,653.29","8,653.29",-
14-Apr-21,"8,593.25","8,614.22","8,550.42","8,558.16","8,558.16",-
13-Apr-21,"8,568.41","8,605.49","8,556.86","8,592.25","8,592.25",-
