Date,Open,High,Low,Close*,Adj Close**,Volume
11-Jun-21,"8,823.51","8,834.61","8,801.38","8,832.94","8,832.94",-
1-Jun-21,"8,764.83","8,837.40","8,666.33","8,815.56","8,815.56",-
1-May-21,"8,700.62","8,799.10","8,424.45","8,738.77","8,738.77",-
1-Apr-21,"8,279.75","8,755.50","8,279.75","8,678.16","8,678.16",-
1-Mar-21,"7,957.96","8,282.99","7,712.97","8,238.48","8,238.48",-
1-Feb-21,"7,716.04","8,175.83","7,704.89","7,892.81","7,892.81",-
1-Jan-21,"7,777.41","8,001.99","7,567.08","7,681.01","7,681.01",-
1-Dec-20,"7,522.30","7,767.17","7,500.48","7,759.35","7,759.35",-
1-Nov-20,"6,788.96","7,517.66","6,755.13","7,472.06","7,472.06",-
1-Oct-20,"6,966.63","7,307.55","6,660.69","6,734.84","6,734.84",-
1-Sep-20,"7,206.90","7,373.35","6,602.36","6,918.83","6,918.83",-
1-Aug-20,"6,745.17","7,221.83","6,737.72","7,192.11","7,192.11",-
1-Jul-20,"6,363.41","6,725.83","6,353.66","6,709.81","6,709.81",-
1-Jun-20,"6,216.80","6,615.55","6,073.52","6,351.67","6,351.67",-
1-May-20,"5,856.87","6,276.60","5,654.23","6,227.81","6,227.81",-
1-Apr-20,"5,092.85","6,031.08","4,989.73","5,944.68","5,944.68",-
1-Mar-20,"6,052.69","6,383.33","4,466.72","5,269.20","5,269.20",-
1-Feb-20,"6,571.68","6,901.42","5,811.55","6,011.73","6,011.73",-
1-Jan-20,"6,582.55","6,776.35","6,522.34","6,551.00","6,551.00",-
1-Dec-19,"6,367.59","6,586.85","6,219.00","6,553.57","6,553.57",-
1-Nov-19,"6,165.86","6,386.80","6,165.86","6,361.56","6,361.56",-
1-Oct-19,"6,022.89","6,162.59","5,766.45","6,138.73","6,138.73",-
1-Sep-19,"5,863.47","6,097.45","5,829.08","6,008.59","6,008.59",-
1-Aug-19,"5,993.64","6,060.55","5,676.31","5,898.23","5,898.23",-
1-Jul-19,"5,953.63","6,088.08","5,949.04","5,993.17","5,993.17",-
1-Jun-19,"5,518.27","5,952.03","5,473.21","5,908.25","5,908.25",-
1-May-19,"5,906.87","5,910.38","5,516.33","5,519.27","5,519.27",-
1-Apr-19,"5,692.95","5,901.00","5,692.95","5,893.81","5,893.81",-
1-Mar-19,"5,584.19","5,714.14","5,435.03","5,664.46","5,664.46",-
1-Feb-19,"5,380.81","5,611.67","5,343.24","5,556.49","5,556.49",-
