Date,Open,High,Low,Close*,Adj Close**,Volume
11-Jun-21,"8,823.51","8,834.61","8,801.38","8,832.94","8,832.94",-
7-Jun-21,"8,794.15","8,837.40","8,750.80","8,832.94","8,832.94",-
31-May-21,"8,764.83","8,802.46","8,666.33","8,795.08","8,795.08",-
24-May-21,"8,666.12","8,768.36","8,666.12","8,738.77","8,738.77",-
17-May-21,"8,661.33","8,703.83","8,438.48","8,635.55","8,635.55",-
10-May-21,"8,779.07","8,795.78","8,424.45","8,669.49","8,669.49",-
3-May-21,"8,700.62","8,799.10","8,569.18","8,787.82","8,787.82",-
26-Apr-21,"8,684.88","8,755.50","8,665.27","8,678.16","8,678.16",-
19-Apr-21,"8,672.75","8,703.72","8,545.61","8,674.80","8,674.80",-
12-Apr-21,"8,557.22","8,696.62","8,536.71","8,684.51","8,684.51",-
5-Apr-21,"8,367.25","8,566.46","8,367.25","8,565.57","8,565.57",-
29-Mar-21,"8,229.55","8,337.48","8,175.83","8,335.91","8,335.91",-
22-Mar-21,"8,119.17","8,246.90","7,990.02","8,240.38","8,240.38",-
15-Mar-21,"8,172.49","8,257.23","8,057.74","8,112.13","8,112.13",-
8-Mar-21,"7,964.14","8,205.85","7,912.34","8,172.90","8,172.90",-
1-Mar-21,"7,957.96","8,107.01","7,712.97","7,958.98","7,958.98",-
22-Feb-21,"8,044.55","8,134.03","7,848.05","7,892.81","7,892.81",-
15-Feb-21,"8,153.69","8,175.83","8,042.50","8,087.68","8,087.68",-
8-Feb-21,"8,051.75","8,147.26","8,037.52","8,142.79","8,142.79",-
1-Feb-21,"7,716.04","8,055.57","7,704.89","8,039.67","8,039.67",-
25-Jan-21,"7,963.33","8,001.99","7,639.40","7,681.01","7,681.01",-
18-Jan-21,"7,818.26","7,983.28","7,815.26","7,942.20","7,942.20",-
11-Jan-21,"7,860.76","7,903.98","7,751.66","7,789.79","7,789.79",-
4-Jan-21,"7,777.41","7,909.32","7,567.08","7,905.28","7,905.28",-
28-Dec-20,"7,689.64","7,767.17","7,689.64","7,759.35","7,759.35",-
21-Dec-20,"7,608.11","7,664.44","7,509.69","7,648.39","7,648.39",-
14-Dec-20,"7,588.20","7,695.16","7,530.21","7,659.75","7,659.75",-
7-Dec-20,"7,625.71","7,662.45","7,500.48","7,562.46","7,562.46",-
30-Nov-20,"7,497.94","7,634.81","7,416.46","7,634.77","7,634.77",-
23-Nov-20,"7,356.72","7,517.66","7,327.75","7,505.38","7,505.38",-
16-Nov-20,"7,421.66","7,478.34","7,309.20","7,336.76","7,336.76",-
9-Nov-20,"7,382.81","7,511.31","7,237.70","7,390.61","7,390.61",-
2-Nov-20,"6,788.96","7,269.90","6,755.13","7,230.51","7,230.51",-
26-Oct-20,"7,086.50","7,086.50","6,660.69","6,734.84","6,734.84",-
19-Oct-20,"7,192.99","7,210.94","7,032.96","7,135.81","7,135.81",-
12-Oct-20,"7,205.03","7,307.55","7,084.63","7,172.70","7,172.70",-
5-Oct-20,"6,929.14","7,168.48","6,903.47","7,157.94","7,157.94",-
28-Sep-20,"6,857.87","6,989.43","6,839.04","6,889.60","6,889.60",-
21-Sep-20,"6,757.35","6,835.21","6,602.36","6,784.95","6,784.95",-
14-Sep-20,"6,916.83","7,051.51","6,771.06","6,826.72","6,826.72",-
7-Sep-20,"6,930.72","7,041.75","6,805.53","6,868.22","6,868.22",-
31-Aug-20,"7,211.47","7,373.35","6,886.63","7,043.62","7,043.62",-
24-Aug-20,"7,021.07","7,209.56","7,010.91","7,207.10","7,207.10",-
17-Aug-20,"6,940.89","6,982.97","6,889.85","6,977.27","6,977.27",-
10-Aug-20,"6,886.50","6,953.27","6,825.80","6,924.28","6,924.28",-
3-Aug-20,"6,745.17","6,879.03","6,737.72","6,876.65","6,876.65",-
27-Jul-20,"6,602.76","6,711.95","6,572.89","6,709.81","6,709.81",-
20-Jul-20,"6,610.96","6,725.83","6,562.16","6,594.10","6,594.10",-
13-Jul-20,"6,570.03","6,639.09","6,412.20","6,611.86","6,611.86",-
6-Jul-20,"6,465.99","6,532.45","6,387.14","6,528.96","6,528.96",-
29-Jun-20,"6,183.81","6,487.36","6,145.20","6,414.16","6,414.16",-
22-Jun-20,"6,337.90","6,461.52","6,155.32","6,163.50","6,163.50",-
15-Jun-20,"6,130.27","6,460.76","6,073.52","6,344.70","6,344.70",-
8-Jun-20,"6,548.95","6,615.55","6,111.71","6,227.42","6,227.42",-
1-Jun-20,"6,216.80","6,572.61","6,202.37","6,536.58","6,536.58",-
25-May-20,"6,143.73","6,276.60","6,073.62","6,227.81","6,227.81",-
18-May-20,"5,956.05","6,093.50","5,956.05","6,044.16","6,044.16",-
11-May-20,"5,955.30","6,018.26","5,654.23","5,852.84","5,852.84",-
4-May-20,"5,746.52","5,989.36","5,711.56","5,984.55","5,984.55",-
27-Apr-20,"5,826.30","6,031.08","5,760.09","5,778.53","5,778.53",-
20-Apr-20,"5,806.83","5,854.32","5,565.13","5,789.65","5,789.65",-
13-Apr-20,"5,676.64","5,875.29","5,551.75","5,865.90","5,865.90",-
6-Apr-20,"5,258.00","5,750.09","5,251.12","5,691.54","5,691.54",-
30-Mar-20,"5,216.48","5,384.49","4,989.73","5,075.16","5,075.16",-
23-Mar-20,"4,668.16","5,374.26","4,466.72","5,179.92","5,179.92",-
16-Mar-20,"5,110.69","5,221.49","4,646.56","4,697.09","4,697.09",-
9-Mar-20,"5,830.58","5,868.12","5,049.06","5,522.85","5,522.85",-
2-Mar-20,"6,052.69","6,383.33","5,906.62","6,050.80","6,050.80",-
24-Feb-20,"6,626.46","6,630.77","5,811.55","6,011.73","6,011.73",-
17-Feb-20,"6,850.51","6,901.42","6,769.93","6,788.60","6,788.60",-
10-Feb-20,"6,743.13","6,881.31","6,742.09","6,872.68","6,872.68",-
3-Feb-20,"6,571.68","6,800.99","6,571.68","6,761.26","6,761.26",-
27-Jan-20,"6,593.11","6,687.44","6,529.57","6,551.00","6,551.00",-
20-Jan-20,"6,742.18","6,776.35","6,662.93","6,691.22","6,691.22",-
13-Jan-20,"6,639.63","6,759.90","6,634.28","6,759.51","6,759.51",-
6-Jan-20,"6,528.24","6,663.68","6,522.34","6,627.87","6,627.87",-
30-Dec-19,"6,572.03","6,609.67","6,515.56","6,563.32","6,563.32",-
23-Dec-19,"6,541.53","6,586.85","6,530.77","6,571.03","6,571.03",-
16-Dec-19,"6,454.19","6,540.70","6,454.19","6,531.75","6,531.75",-
9-Dec-19,"6,367.03","6,451.79","6,335.49","6,423.93","6,423.93",-
2-Dec-19,"6,367.59","6,384.20","6,219.00","6,374.70","6,374.70",-
25-Nov-19,"6,311.57","6,386.80","6,311.57","6,361.56","6,361.56",-
18-Nov-19,"6,309.68","6,329.58","6,257.95","6,296.34","6,296.34",-
11-Nov-19,"6,230.30","6,314.75","6,221.19","6,314.74","6,314.74",-
4-Nov-19,"6,223.02","6,264.22","6,197.09","6,256.11","6,256.11",-
28-Oct-19,"6,126.75","6,198.61","6,109.68","6,198.59","6,198.59",-
21-Oct-19,"6,054.21","6,117.12","6,044.12","6,107.42","6,107.42",-
14-Oct-19,"5,991.04","6,077.70","5,985.41","6,033.26","6,033.26",-
7-Oct-19,"5,944.75","6,045.96","5,841.27","6,000.04","6,000.04",-
30-Sep-19,"5,989.08","6,040.71","5,766.45","5,960.43","5,960.43",-
23-Sep-19,"6,020.20","6,070.08","5,945.35","5,978.11","5,978.11",-
16-Sep-19,"6,045.54","6,097.45","6,009.68","6,037.50","6,037.50",-
9-Sep-19,"6,026.16","6,092.39","5,963.17","6,067.50","6,067.50",-
2-Sep-19,"5,863.47","6,019.96","5,829.08","6,006.07","6,006.07",-
26-Aug-19,"5,775.81","5,926.39","5,749.57","5,898.23","5,898.23",-
19-Aug-19,"5,868.46","5,920.86","5,711.17","5,735.63","5,735.63",-
12-Aug-19,"5,851.19","5,924.34","5,690.03","5,818.17","5,818.17",-
5-Aug-19,"5,829.05","5,912.91","5,676.31","5,873.47","5,873.47",-
29-Jul-19,"6,081.05","6,083.16","5,861.10","5,897.10","5,897.10",-
22-Jul-19,"5,995.04","6,088.08","5,984.44","6,083.82","6,083.82",-
15-Jul-19,"6,065.87","6,065.87","5,976.90","5,984.20","5,984.20",-
8-Jul-19,"5,987.02","6,057.88","5,955.95","6,057.77","6,057.77",-
1-Jul-19,"5,953.63","6,015.58","5,953.63","6,008.31","6,008.31",-
24-Jun-19,"5,926.47","5,933.43","5,849.38","5,908.25","5,908.25",-
17-Jun-19,"5,801.56","5,952.03","5,796.68","5,924.54","5,924.54",-
10-Jun-19,"5,790.75","5,840.52","5,768.93","5,795.96","5,795.96",-
3-Jun-19,"5,518.27","5,788.89","5,473.21","5,765.66","5,765.66",-
27-May-19,"5,673.61","5,694.55","5,516.33","5,519.27","5,519.27",-
20-May-19,"5,695.72","5,749.79","5,623.54","5,665.60","5,665.60",-
13-May-19,"5,688.14","5,795.61","5,610.61","5,730.89","5,730.89",-
6-May-19,"5,821.25","5,878.05","5,658.44","5,770.44","5,770.44",-
29-Apr-19,"5,883.16","5,910.38","5,803.53","5,894.30","5,894.30",-
22-Apr-19,"5,798.77","5,881.48","5,793.99","5,881.48","5,881.48",-
15-Apr-19,"5,816.99","5,836.78","5,784.85","5,811.13","5,811.13",-
8-Apr-19,"5,774.25","5,821.20","5,746.02","5,815.04","5,815.04",-
1-Apr-19,"5,692.95","5,783.68","5,692.95","5,782.70","5,782.70",-
25-Mar-19,"5,586.53","5,667.72","5,564.66","5,664.46","5,664.46",-
18-Mar-19,"5,638.10","5,714.14","5,595.04","5,595.50","5,595.50",-
11-Mar-19,"5,485.52","5,654.21","5,485.52","5,637.77","5,637.77",-
4-Mar-19,"5,616.57","5,621.42","5,435.03","5,476.39","5,476.39",-
25-Feb-19,"5,593.52","5,611.67","5,536.16","5,595.11","5,595.11",-
18-Feb-19,"5,521.09","5,572.50","5,513.27","5,569.45","5,569.45",-
11-Feb-19,"5,404.17","5,533.33","5,387.02","5,533.27","5,533.27",-
4-Feb-19,"5,389.20","5,453.93","5,343.24","5,395.12","5,395.12",-
28-Jan-19,"5,264.13","5,409.33","5,222.73","5,389.19","5,389.19",-
21-Jan-19,"5,289.45","5,318.67","5,200.02","5,303.51","5,303.51",-
14-Jan-19,"5,134.00","5,324.19","5,114.46","5,314.78","5,314.78",-
7-Jan-19,"5,042.77","5,168.17","5,020.83","5,165.15","5,165.15",-
31-Dec-18,"4,968.50","5,047.56","4,860.86","5,035.45","5,035.45",-
24-Dec-18,"4,770.95","5,010.16","4,664.09","4,941.61","4,941.61",-
17-Dec-18,"5,147.60","5,168.14","4,787.04","4,802.51","4,802.51",-
10-Dec-18,"5,225.06","5,333.79","5,131.85","5,165.60","5,165.60",-
3-Dec-18,"5,539.12","5,558.16","5,205.72","5,229.44","5,229.44",-
26-Nov-18,"5,257.59","5,480.24","5,257.59","5,478.91","5,478.91",-
19-Nov-18,"5,416.05","5,420.86","5,219.62","5,222.43","5,222.43",-
12-Nov-18,"5,497.75","5,501.69","5,297.58","5,426.86","5,426.86",-
5-Nov-18,"5,399.24","5,577.68","5,382.88","5,511.79","5,511.79",-
29-Oct-18,"5,311.26","5,458.81","5,155.62","5,392.53","5,392.53",-
22-Oct-18,"5,491.63","5,501.53","5,203.50","5,263.74","5,263.74",-
15-Oct-18,"5,470.43","5,575.69","5,441.55","5,479.30","5,479.30",-
8-Oct-18,"5,693.01","5,728.65","5,364.29","5,476.83","5,476.83",-
1-Oct-18,"5,787.81","5,814.82","5,676.81","5,708.90","5,708.90",-
24-Sep-18,"5,777.22","5,795.82","5,741.88","5,763.42","5,763.42",-
17-Sep-18,"5,741.02","5,814.95","5,706.11","5,792.72","5,792.72",-
10-Sep-18,"5,693.77","5,749.74","5,665.29","5,743.19","5,743.19",-
3-Sep-18,"5,722.32","5,728.56","5,660.05","5,674.58","5,674.58",-
27-Aug-18,"5,695.52","5,758.84","5,695.52","5,730.80","5,730.80",-
20-Aug-18,"5,633.36","5,678.01","5,626.89","5,675.12","5,675.12",-
13-Aug-18,"5,593.06","5,636.41","5,529.67","5,625.66","5,625.66",-
6-Aug-18,"5,599.14","5,644.68","5,574.00","5,588.66","5,588.66",-
30-Jul-18,"5,555.11","5,598.77","5,511.30","5,598.71","5,598.71",-
23-Jul-18,"5,515.26","5,611.49","5,507.50","5,554.31","5,554.31",-
16-Jul-18,"5,518.81","5,549.00","5,495.09","5,520.50","5,520.50",-
9-Jul-18,"5,453.05","5,524.64","5,453.05","5,518.33","5,518.33",-
2-Jul-18,"5,324.65","5,443.39","5,312.84","5,434.36","5,434.36",-
25-Jun-18,"5,398.14","5,404.33","5,298.65","5,350.83","5,350.83",-
18-Jun-18,"5,442.18","5,460.21","5,397.94","5,421.63","5,421.63",-
11-Jun-18,"5,467.70","5,490.37","5,434.48","5,469.37","5,469.37",-
4-Jun-18,"5,390.28","5,466.78","5,386.41","5,465.42","5,465.42",-
28-May-18,"5,315.67","5,380.84","5,260.06","5,376.29","5,376.29",-
21-May-18,"5,355.32","5,387.38","5,319.29","5,347.31","5,347.31",-
14-May-18,"5,366.02","5,383.13","5,304.70","5,329.66","5,329.66",-
7-May-18,"5,236.45","5,364.78","5,208.80","5,354.69","5,354.69",-
30-Apr-18,"5,245.99","5,261.31","5,089.09","5,224.71","5,224.71",-
23-Apr-18,"5,246.05","5,262.02","5,123.32","5,235.73","5,235.73",-
16-Apr-18,"5,234.76","5,327.62","5,217.06","5,235.75","5,235.75",-
9-Apr-18,"5,129.77","5,254.32","5,117.26","5,207.57","5,207.57",-
2-Apr-18,"5,158.70","5,235.73","5,002.71","5,103.35","5,103.35",-
26-Mar-18,"5,129.92","5,238.24","5,079.52","5,173.19","5,173.19",-
19-Mar-18,"5,367.96","5,367.96","5,064.43","5,069.03","5,069.03",-
12-Mar-18,"5,461.82","5,484.36","5,367.91","5,388.74","5,388.74",-
5-Mar-18,"5,245.34","5,454.03","5,235.09","5,454.03","5,454.03",-
26-Feb-18,"5,391.92","5,454.77","5,179.29","5,265.24","5,265.24",-
19-Feb-18,"5,323.15","5,372.18","5,274.40","5,371.56","5,371.56",-
12-Feb-18,"5,150.78","5,384.22","5,122.86","5,340.82","5,340.82",-
5-Feb-18,"5,351.10","5,394.70","4,947.99","5,116.99","5,116.99",-
29-Jan-18,"5,595.40","5,601.75","5,388.35","5,392.21","5,392.21",-
22-Jan-18,"5,481.42","5,606.08","5,479.40","5,606.08","5,606.08",-
15-Jan-18,"5,460.83","5,483.62","5,402.12","5,483.57","5,483.57",-
8-Jan-18,"5,348.85","5,439.05","5,337.66","5,435.92","5,435.92",-
1-Jan-18,"5,232.72","5,350.24","5,230.06","5,349.69","5,349.69",-
25-Dec-17,"5,221.75","5,248.86","5,212.76","5,212.76","5,212.76",-
18-Dec-17,"5,234.03","5,251.39","5,215.85","5,229.79","5,229.79",-
11-Dec-17,"5,166.56","5,221.56","5,165.17","5,214.10","5,214.10",-
4-Dec-17,"5,174.49","5,190.07","5,111.82","5,165.19","5,165.19",-
27-Nov-17,"5,065.25","5,174.64","5,057.91","5,145.21","5,145.21",-
20-Nov-17,"5,018.86","5,067.70","5,016.42","5,064.23","5,064.23",-
13-Nov-17,"5,009.18","5,039.10","4,974.38","5,017.45","5,017.45",-
6-Nov-17,"5,027.20","5,045.78","4,987.46","5,020.31","5,020.31",-
30-Oct-17,"5,006.70","5,028.62","4,985.05","5,027.49","5,027.49",-
