Date,Open,High,Low,Close,Adj Close,Volume
2001/5/28,1255.75,1267.25,1247.25,1265,1265,132432
2001/6/4,1264.5,1288.5,1256.5,1268.75,1268.75,397149
2001/6/11,1264.25,1267,1204.25,1207.5,1207.5,157910
2001/6/18,1226,1249.25,1215.5,1235,1235,753683
2001/6/25,1234,1245.5,1206,1237.75,1237.75,687390
2001/7/2,1233.5,1248.25,1193,1193.5,1193.5,314460
2001/7/9,1194.5,1225.75,1174,1225,1225,769433
2001/7/16,1224.5,1231.5,1201.5,1214.75,1214.75,765460
2001/7/23,1215,1223.5,1168.5,1210,1210,770269
2001/7/30,1210,1234.25,1203,1219.75,1219.75,656386
2001/8/6,1219.75,1221,1172,1191.25,1191.25,741930
2001/8/13,1193,1202.75,1158.25,1166,1166,775492
2001/8/20,1164.75,1189,1155.25,1187.5,1187.5,787410
2001/8/27,1187.75,1192,1125.5,1138.5,1138.5,773872
2001/9/3,1137.5,1158.5,1081.75,1083.25,1083.25,878390
2001/9/10,1084,1103,1067.5,1095.75,1095.75,243100
2001/9/17,1035.75,1058.25,939,940,940,577851
2001/9/24,976.25,1045.25,973.25,1043.75,1043.75,1108287
2001/10/1,1044.25,1087.5,1028.75,1071.75,1071.75,1200367
2001/10/8,1067,1106,1054.75,1094,1094,1138178
2001/10/15,1092.75,1114.5,1058.75,1072.5,1072.5,1153300
2001/10/22,1072.5,1112.5,1065.75,1102,1102,1097129
2001/10/29,1103.25,1103.25,1053.25,1089.5,1089.5,1194592
2001/11/5,1089.25,1137.5,1088,1123.5,1123.5,1025008
2001/11/12,1122.5,1152.25,1096.5,1140,1140,1096252
2001/11/19,1140.5,1155.5,1131,1152.75,1152.75,457392
2001/11/26,1152.5,1164.75,1125,1135.25,1135.25,1117108
2001/12/3,1137.25,1175.25,1125.25,1160.5,1160.5,1005565
2001/12/10,1160.5,1162.5,1114.25,1126,1126,652895
2001/12/17,1124.25,1153.25,1119.25,1149.75,1149.75,40989
2001/12/24,1148.25,1166.25,1142.75,1159.25,1159.25,242246
2001/12/31,1159.25,1178.25,1136.5,1175.25,1175.25,739756
2002/1/7,1173.25,1178.5,1145.25,1147.75,1147.75,1162604
2002/1/14,1147.5,1150,1124.25,1129,1129,1172930
2002/1/21,1129.25,1139.75,1117.5,1133.25,1133.25,859729
