Date,Open,High,Low,Close,Adj Close,Volume
11-Jun-21,4242.90,4248.38,4232.25,4247.44,4247.44,3204280000.00
10-Jun-21,4228.56,4249.74,4220.34,4239.18,4239.18,3502480000.00
9-Jun-21,4232.99,4237.09,4218.74,4219.55,4219.55,3902870000.00
8-Jun-21,4233.81,4236.74,4208.41,4227.26,4227.26,3943870000.00
7-Jun-21,4229.34,4232.34,4215.66,4226.52,4226.52,3835570000.00
4-Jun-21,4206.05,4233.45,4206.05,4229.89,4229.89,3487070000.00
3-Jun-21,4191.43,4204.39,4167.93,4192.85,4192.85,4579450000.00
2-Jun-21,4206.82,4217.37,4198.27,4208.12,4208.12,4860930000.00
1-Jun-21,4216.52,4234.12,4197.59,4202.04,4202.04,4122960000.00
28-May-21,4210.77,4218.36,4203.57,4204.11,4204.11,4199270000.00
27-May-21,4201.94,4213.38,4197.78,4200.88,4200.88,5201110000.00
26-May-21,4191.59,4202.61,4184.11,4195.99,4195.99,3674490000.00
25-May-21,4205.94,4213.42,4182.52,4188.13,4188.13,3420870000.00
24-May-21,4170.16,4209.52,4170.16,4197.05,4197.05,2947400000.00
21-May-21,4168.61,4188.72,4151.72,4155.86,4155.86,3344620000.00
20-May-21,4121.97,4172.80,4121.97,4159.12,4159.12,3019060000.00
19-May-21,4098.45,4116.93,4061.41,4115.68,4115.68,3485550000.00
18-May-21,4165.94,4169.15,4125.99,4127.83,4127.83,3559790000.00
17-May-21,4169.92,4171.92,4142.69,4163.29,4163.29,3307130000.00
14-May-21,4129.58,4183.13,4129.58,4173.85,4173.85,3251920000.00
13-May-21,4074.99,4131.58,4074.99,4112.50,4112.50,3687780000.00
12-May-21,4130.55,4134.73,4056.88,4063.04,4063.04,3735080000.00
11-May-21,4150.34,4162.04,4111.53,4152.10,4152.10,3593110000.00
10-May-21,4228.29,4236.39,4188.13,4188.43,4188.43,3678970000.00
7-May-21,4210.34,4238.04,4201.64,4232.60,4232.60,4013060000.00
6-May-21,4169.14,4202.70,4147.33,4201.62,4201.62,4504860000.00
5-May-21,4177.06,4187.72,4160.94,4167.59,4167.59,4029050000.00
4-May-21,4179.04,4179.04,4128.59,4164.66,4164.66,4441080000.00
3-May-21,4191.98,4209.39,4188.03,4192.66,4192.66,4061170000.00
30-Apr-21,4198.10,4198.10,4174.85,4181.17,4181.17,4273680000.00
29-Apr-21,4206.14,4218.78,4176.81,4211.47,4211.47,4288940000.00
28-Apr-21,4185.14,4201.53,4181.78,4183.18,4183.18,3772390000.00
27-Apr-21,4188.25,4193.35,4176.22,4186.72,4186.72,3703240000.00
26-Apr-21,4185.03,4194.19,4182.36,4187.62,4187.62,3738920000.00
23-Apr-21,4138.78,4194.17,4138.78,4180.17,4180.17,3568080000.00
22-Apr-21,4170.46,4179.57,4123.69,4134.98,4134.98,4235040000.00
21-Apr-21,4128.42,4175.02,4126.35,4173.42,4173.42,3865820000.00
20-Apr-21,4159.18,4159.18,4118.38,4134.94,4134.94,4338230000.00
19-Apr-21,4179.80,4180.81,4150.47,4163.26,4163.26,3788020000.00
16-Apr-21,4174.14,4191.31,4170.75,4185.47,4185.47,4157430000.00
15-Apr-21,4139.76,4173.49,4139.76,4170.42,4170.42,4027680000.00
14-Apr-21,4141.58,4151.69,4120.87,4124.66,4124.66,3976540000.00
13-Apr-21,4130.10,4148.00,4124.43,4141.59,4141.59,3728440000.00
12-Apr-21,4124.71,4131.76,4114.82,4127.99,4127.99,3578500000.00
9-Apr-21,4096.11,4129.48,4095.51,4128.80,4128.80,3634910000.00
8-Apr-21,4089.95,4098.19,4082.54,4097.17,4097.17,3901910000.00
7-Apr-21,4074.29,4083.13,4068.31,4079.95,4079.95,4112640000.00
6-Apr-21,4075.57,4086.23,4068.14,4073.94,4073.94,4027880000.00
5-Apr-21,4034.44,4083.42,4034.44,4077.91,4077.91,3999760000.00
1-Apr-21,3992.78,4020.63,3992.78,4019.87,4019.87,4151240000.00
31-Mar-21,3967.25,3994.41,3966.98,3972.89,3972.89,4564980000.00
30-Mar-21,3963.34,3968.01,3944.35,3958.55,3958.55,4103570000.00
29-Mar-21,3969.31,3981.83,3943.25,3971.09,3971.09,4619840000.00
26-Mar-21,3917.12,3978.19,3917.12,3974.54,3974.54,5467850000.00
25-Mar-21,3879.34,3919.54,3853.50,3909.52,3909.52,4940800000.00
24-Mar-21,3919.93,3942.08,3889.07,3889.14,3889.14,4766990000.00
23-Mar-21,3937.60,3949.13,3901.57,3910.52,3910.52,4645340000.00
22-Mar-21,3916.48,3955.31,3914.16,3940.59,3940.59,4311380000.00
19-Mar-21,3913.14,3930.12,3886.75,3913.10,3913.10,7725050000.00
18-Mar-21,3953.50,3969.62,3910.86,3915.46,3915.46,4043170000.00
17-Mar-21,3949.57,3983.87,3935.74,3974.12,3974.12,4541620000.00
16-Mar-21,3973.59,3981.04,3953.44,3962.71,3962.71,4604870000.00
15-Mar-21,3942.96,3970.08,3923.54,3968.94,3968.94,4882190000.00
12-Mar-21,3924.52,3944.99,3915.21,3943.34,3943.34,4469240000.00
