Date,Open,High,Low,Close,Adj Close,Volume
12-Jun-21,-,-,-,-,-,-
5-Jun-21,4229.34,4249.74,4208.41,4247.44,4247.44,18389070000.00
29-May-21,4216.52,4234.12,4167.93,4229.89,4229.89,17050410000.00
22-May-21,4170.16,4218.36,4170.16,4204.11,4204.11,19443140000.00
15-May-21,4169.92,4188.72,4061.41,4155.86,4155.86,16716150000.00
8-May-21,4228.29,4236.39,4056.88,4173.85,4173.85,17946860000.00
1-May-21,4191.98,4238.04,4128.59,4232.60,4232.60,21049220000.00
24-Apr-21,4185.03,4218.78,4174.85,4181.17,4181.17,19777170000.00
17-Apr-21,4179.80,4194.17,4118.38,4180.17,4180.17,19795190000.00
10-Apr-21,4124.71,4191.31,4114.82,4185.47,4185.47,19468590000.00
3-Apr-21,4034.44,4129.48,4034.44,4128.80,4128.80,19677100000.00
27-Mar-21,3969.31,4020.63,3943.25,4019.87,4019.87,17439630000.00
20-Mar-21,3916.48,3978.19,3853.50,3974.54,3974.54,24132360000.00
13-Mar-21,3942.96,3983.87,3886.75,3913.10,3913.10,25796900000.00
6-Mar-21,3844.39,3960.27,3819.25,3943.34,3943.34,26945080000.00
27-Feb-21,3842.51,3914.50,3723.34,3841.94,3841.94,30700830000.00
20-Feb-21,3885.55,3928.65,3789.54,3811.15,3811.15,31119200000.00
13-Feb-21,3939.61,3950.43,3885.03,3906.71,3906.71,19353010000.00
6-Feb-21,3892.59,3937.23,3884.94,3934.83,3934.83,22694360000.00
30-Jan-21,3731.17,3894.56,3725.62,3886.83,3886.83,25430390000.00
23-Jan-21,3851.68,3870.90,3694.12,3714.24,3714.24,36413520000.00
16-Jan-21,3781.88,3861.45,3780.37,3841.47,3841.47,19099620000.00
9-Jan-21,3803.14,3823.60,3749.62,3768.25,3768.25,24551330000.00
2-Jan-21,3764.61,3826.69,3662.71,3824.68,3824.68,25484320000.00
26-Dec-20,3723.03,3760.20,3723.03,3756.07,3756.07,13232200000.00
19-Dec-20,3684.28,3711.24,3636.48,3703.06,3703.06,14413820000.00
12-Dec-20,3675.27,3726.70,3645.84,3709.41,3709.41,24265420000.00
5-Dec-20,3694.73,3712.39,3633.40,3663.46,3663.46,23533560000.00
28-Nov-20,3634.18,3699.20,3594.39,3699.12,3699.12,26902810000.00
21-Nov-20,3566.82,3644.31,3552.77,3638.35,3638.35,18984870000.00
14-Nov-20,3600.16,3628.51,3543.84,3557.54,3557.54,23922170000.00
7-Nov-20,3583.04,3645.99,3511.91,3585.15,3585.15,28790600000.00
31-Oct-20,3296.20,3529.05,3279.74,3509.44,3509.44,22988840000.00
24-Oct-20,3441.42,3441.42,3233.94,3269.96,3269.96,22808450000.00
17-Oct-20,3493.66,3502.42,3415.34,3465.39,3465.39,19895410000.00
