,Full Name,LR
HEDG,Credit Suisse Hedge Fund Index ,9.604125023306992
HEDG_CVARB,Credit Suisse Convertible Arbitrage Hedge Fund Index,1.9938789434602882
HEDG_DEDSH,Credit Suisse Dedicated Short Bias Hedge Fund Index,1.1434258109652404
HEDG_EMMKT,Credit Suisse Emerging Markets Hedge Fund Index,1.9938789434602882
HEDG_EQNTR,Credit Suisse Equity Market Neutral Hedge Fund Index,5.2544639353462514
HEDG_EVDRV,Credit Suisse Event Driven Hedge Fund Index,9.604125023306992
HEDG_DISTR,Credit Suisse Event Driven Distressed Hedge Fund Index,9.604125023306992
HEDG_MSEVD,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,9.604125023306992
HEDG_MRARB,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,1.9938789434602882
HEDG_FIARB,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,5.2544639353462514
HEDG_GLMAC,Credit Suisse Global Macro Hedge Fund Index,5.2544639353462514
HEDG_LOSHO,Credit Suisse Long/Short Equity Hedge Fund Index,5.2544639353462514
HEDG_MGFUT,Credit Suisse Managed Futures Hedge Fund Index,0.1527787288320468
HEDG_MULTI,Credit Suisse Multi-Strategy Hedge Fund Index,14.913264632956484
S&P 500 Daily,,38.33477885938373
S&P 500 Weekly,,3.2462424600405484
S&P 500 Monthly,,1.9938789434602882
