,Full Name,Christoffersen LR (two-side),"Pajhede LR (K=1, two-side)","Pajhede LR (K=3, two-side)","Pajhede LR (K=5, two-side)","Pajhede LR (K=10, two-side)",,,,
HEDG,Credit Suisse Hedge Fund Index ,8.978458615,8.978458615,9.44923964,8.628282173,8.865426603,HEDG,8.821581,,
HEDG_CVARB,Credit Suisse Convertible Arbitrage Hedge Fund Index,0.062001188,0.062001188,0.449545045,3.258704254,5.340120576,HEDG_CVARB,14.245359,0.035744743,同理
HEDG_DEDSH,Credit Suisse Dedicated Short Bias Hedge Fund Index,1.379421439,1.379421439,0.970968257,2.678767546,5.175987576,HEDG_DEDSH,0.714651,,
HEDG_EMMKT,Credit Suisse Emerging Markets Hedge Fund Index,4.430271256,4.430271256,4.865775357,7.268238557,4.458451405,HEDG_EMMKT,6.562258,,
HEDG_EQNTR,Credit Suisse Equity Market Neutral Hedge Fund Index,0.062001188,0.062001188,0.286137788,0.952337131,2.39387755,HEDG_EQNTR,203.867381,-1.19,有一个极端值，剔除后得到这个数据
HEDG_EVDRV,Credit Suisse Event Driven Hedge Fund Index,8.978458615,8.978458615,5.375395416,4.642172386,4.154497174,HEDG_EVDRV,23.997602,,
HEDG_DISTR,Credit Suisse Event Driven Distressed Hedge Fund Index,14.05614452,14.05614452,5.936363357,8.338326716,8.865426603,HEDG_DISTR,21.149631,,
HEDG_MSEVD,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,14.05614452,14.05614452,18.51277836,13.5479392,9.84903502,HEDG_MSEVD,23.893511,,
HEDG_MRARB,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,8.978458615,8.978458615,5.649010687,4.84357249,3.588627385,HEDG_MRARB,16.184101,,
HEDG_FIARB,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,20.01864955,20.01864955,21.111253,20.2352964,32.33945137,HEDG_FIARB,32.41656,,
HEDG_GLMAC,Credit Suisse Global Macro Hedge Fund Index,14.05614452,14.05614452,9.44923964,8.338326716,8.405006153,HEDG_GLMAC,6.962585,,
HEDG_LOSHO,Credit Suisse Long/Short Equity Hedge Fund Index,14.91326463,14.91326463,11.25521085,7.087425607,7.662898279,HEDG_LOSHO,3.388861,,
HEDG_MGFUT,Credit Suisse Managed Futures Hedge Fund Index,0.102925658,0.102925658,2.102834903,3.733752699,1.606095461,HEDG_MGFUT,-0.366846,,
HEDG_MULTI,Credit Suisse Multi-Strategy Hedge Fund Index,8.978458615,8.978458615,9.44923964,8.338326716,8.632730035,HEDG_MULTI,12.314535,,
S&P 500 Daily,,212.7141638,212.7141638,331.6641304,425.6325423,393.4397429,,,,
S&P 500 Weekly,,36.03630674,36.03630674,64.07956248,78.52315577,73.48221303,,,,
S&P 500 Monthly,,18.9108743,18.9108743,26.31612,27.23391635,25.24432936,,,,
