,Full Name,LR
HEDG,Credit Suisse Hedge Fund Index ,8.978458615204673
HEDG_CVARB,Credit Suisse Convertible Arbitrage Hedge Fund Index,0.062001187705746474
HEDG_DEDSH,Credit Suisse Dedicated Short Bias Hedge Fund Index,1.3794214389606907
HEDG_EMMKT,Credit Suisse Emerging Markets Hedge Fund Index,4.430271255618891
HEDG_EQNTR,Credit Suisse Equity Market Neutral Hedge Fund Index,0.062001187705746474
HEDG_EVDRV,Credit Suisse Event Driven Hedge Fund Index,8.978458615204673
HEDG_DISTR,Credit Suisse Event Driven Distressed Hedge Fund Index,14.056144524251224
HEDG_MSEVD,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,14.056144524251224
HEDG_MRARB,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,8.978458615204673
HEDG_FIARB,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,20.01864954998608
HEDG_GLMAC,Credit Suisse Global Macro Hedge Fund Index,14.056144524251224
HEDG_LOSHO,Credit Suisse Long/Short Equity Hedge Fund Index,14.913264632956484
HEDG_MGFUT,Credit Suisse Managed Futures Hedge Fund Index,0.10292565772572004
HEDG_MULTI,Credit Suisse Multi-Strategy Hedge Fund Index,8.978458615204673
S&P 500 Daily,,212.7141637520017
S&P 500 Weekly,,36.03630673770414
S&P 500 Monthly,,18.910874296209244
